Cuntrycd,Stkcd,Stknme,Conme,Conme_en,Indcd,Indnme,Nindcd,Nindnme,Nnindcd,Nnindnme,Estbdt,Listdt,Favaldt,Curtrd,Ipoprm,Ipoprc,Ipocur,Nshripo,Parvcur,Ipodt,Parval,Sctcd,Statco,Crcd,Statdt,Commnt,Markettype
10,1,平安银行,平安银行股份有限公司,"Ping An Bank Co., Ltd.",1,金融,I01,银行业,J66,货币金融服务,1987/12/22,1991/4/3,1991/4/3,CNY,20,40,CNY,350,CNY,1989/3/10,20,2,A,,2017/4/27,,4
10,2,万科A,万科企业股份有限公司,"China Vanke Co., Ltd.",3,房地产,J01,房地产开发与经营业,K70,房地产业,1984/5/30,1991/1/29,1991/1/29,CNY,0,1,CNY,28000,CNY,1988/12/28,1,2,A,,2017/7/18,2202,4
10,3,PT 金田A,金田实业(集团)股份有限公司,"Gintian Industry (Group) Co., Ltd.",4,综合,M,综合类,S90,综合,1988/11/9,1991/7/3,1991/7/3,CNY,9,10,CNY,452,CNY,1989/2/28,1,2,D,200003,2002/6/14,,4
10,4,国农科技,深圳中国农大科技股份有限公司,"Shenzhen Cau Technology Co., Ltd.",5,工业,C81,医药制造业,C27,医药制造业,1986/5/5,1991/1/14,1991/1/14,CNY,0,1,CNY,12500,CNY,1989/12/23,1,2,A,,2017/6/15,,4
10,5,世纪星源,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,2,公用事业,K99,其他社会服务业,N77,生态保护和环境治理业,1988/12/22,1990/12/10,1991/1/4,CNY,9,10,CNY,44339,CNY,1990/3/3,1,2,A,,2017/4/27,,4
10,6,深振业A,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE (GROUP) CO., LTD.",3,房地产,J01,房地产开发与经营业,K70,房地产业,1989/5/25,1992/4/27,1992/4/27,CNY,9,10,CNY,15595,CNY,1989/8/1,1,2,N,,2017/9/11,,4
10,7,全新好,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co.,Ltd.",3,房地产,J01,房地产开发与经营业,K70,房地产业,1989/1/12,1992/4/13,1992/4/13,CNY,0,1,CNY,8400,CNY,1988/12/1,1,2,A,,2017/7/17,,4
10,8,神州高铁,神州高铁技术股份有限公司,"China High-Speed Railway Technology Co., Ltd.",5,工业,C75,交通运输设备制造业,C37,铁路、船舶、航空航天和其它运输设备制造业,1989/10/11,1992/5/7,1992/5/7,CNY,9,10,CNY,11384,CNY,1989/10/1,1,2,A,,2017/9/19,,4
10,9,中国宝安,中国宝安集团股份有限公司,"China Baoan Group Co., Ltd.",4,综合,M,综合类,S90,综合,1990/9/1,1991/6/25,1991/6/25,CNY,2,3,CNY,60000,CNY,1991/6/14,1,2,A,,2017/4/27,,4
10,10,美丽生态,深圳美丽生态股份有限公司,"SHENZHEN ECOBEAUTY CO.,LTD.",3,房地产,E01,土木工程建筑业,E48,土木工程建筑业,1988/12/31,1995/10/27,1995/10/27,CNY,0,1,CNY,16999,CNY,1993/6/1,1,2,A,,2017/4/27,,4
10,11,深物业A,深圳市物业发展(集团)股份有限公司,"Shenzhen Properties and Resources Development (Group)Co., Ltd.",3,房地产,J01,房地产开发与经营业,K70,房地产业,1983/1/17,1992/3/30,1992/3/30,CNY,2.6,3.6,CNY,41500,CNY,1991/10/1,1,2,A,200011,2017/4/27,,4
10,12,南玻A,中国南玻集团股份有限公司,"CSG HOLDING CO., LTD.",5,工业,C61,非金属矿物制品业,C30,非金属矿物制品业,1992/1/28,1992/2/28,1992/2/28,CNY,2.38,3.38,CNY,20300,CNY,1991/12/3,1,2,A,200012,2017/4/27,,4
10,13,*ST 石化A,深圳石化工业集团股份有限公司,"Shenzhen Petrochemical Industry (Group) Co., Ltd.",6,商业,H03,能源、材料和机械电子设备批发业,F51,批发业,1992/3/18,1992/5/6,1992/5/6,CNY,1.8,2.8,CNY,23500,CNY,1991/12/11,1,2,D,200013,2004/9/20,,4
10,14,沙河股份,沙河实业股份有限公司,"SHAHE INDUSTRIAL CO., LTD.",3,房地产,J01,房地产开发与经营业,K70,房地产业,1992/4/21,1992/6/2,1992/6/2,CNY,1.38,2.38,CNY,11000,CNY,1991/12/19,1,2,A,,2017/4/27,,4
10,15,PT 中浩A,深圳中浩(集团)股份有限公司,"Shenzhen Zhonghao (Group) Co., Ltd.",4,综合,M,综合类,S90,综合,1992/5/8,1992/6/25,1992/6/25,CNY,1.78,2.78,CNY,14400,CNY,1991/12/14,1,2,D,200015,2001/10/25,,4
10,16,深康佳A,康佳集团股份有限公司,"KONKA GROUP CO., LTD.",5,工业,C55,日用电子器具制造业,C39,计算机、通信和其他电子设备制造业,1992/3/6,1992/3/27,1992/3/27,CNY,2.9,3.9,CNY,30150,CNY,1991/12/24,1,2,A,200016,2017/4/27,,4
10,17,深中华A,深圳中华自行车(集团)股份有限公司,"Shenzhen China Bicycle Company(Holdings) Co., Ltd.",5,工业,C75,交通运输设备制造业,C37,铁路、船舶、航空航天和其它运输设备制造业,1992/3/12,1992/3/31,1992/3/31,CNY,2.75,3.75,CNY,32800,CNY,1991/12/28,1,2,A,200017,2017/5/23,,4
10,18,神州长城,神州长城股份有限公司,"Sino Great Wall Co., Ltd.",4,综合,E05,装修装饰业,E50,建筑装饰和其他建筑业,1992/5/9,1992/6/16,1992/6/16,CNY,0.5,1.5,CNY,15200,CNY,1992/1/7,1,2,A,200018,2017/4/27,,4
10,19,深深宝A,深圳市深宝实业股份有限公司,"Shenzhen Shenbao Industrial Co., Ltd.",5,工业,C05,饮料制造业,C15,酒、饮料和精制茶制造业,1992/8/6,1992/10/12,1992/10/12,CNY,1.1,2.1,CNY,19400,CNY,1991/12/1,1,2,N,200019,2017/8/22,,4
10,20,深华发A,深圳中恒华发股份有限公司,"Shenzhen Zhongheng Huafa Co., Ltd.",5,工业,C55,日用电子器具制造业,C39,计算机、通信和其他电子设备制造业,1992/3/30,1992/4/28,1992/4/28,CNY,0.9,1.9,CNY,29630,CNY,1992/1/20,1,2,A,200020,2017/8/25,,4
10,21,深科技,深圳长城开发科技股份有限公司,"Shenzhen Kaifa Technology Co., Ltd.",5,工业,G83,计算机及相关设备制造业,C39,计算机、通信和其他电子设备制造业,1993/12/29,1994/2/2,1994/2/2,CNY,3.65,4.65,CNY,25675,CNY,1993/11/22,1,2,A,,2017/4/27,,4
10,22,深赤湾A,深圳赤湾港航股份有限公司,"Shenzhen Chiwan Wharf Holdings Co., Ltd.",2,公用事业,F07,水上运输业,G55,水上运输业,1993/3/21,1993/5/5,1993/5/5,CNY,2.1,3.1,CNY,46000,CNY,1993/2/18,1,2,A,200022,2017/4/27,,4
10,23,深天地A,深圳市天地(集团)股份有限公司,"Shenzhen Universe (Group)Co., Ltd.",5,工业,C61,非金属矿物制品业,C30,非金属矿物制品业,1993/3/28,1993/4/29,1993/4/29,CNY,2.1,3.1,CNY,25300,CNY,1993/3/1,1,2,A,,2017/8/14,,4
10,24,招商地产,招商局地产控股股份有限公司,"China Merchants Property Development Co., Ltd.",3,房地产,J01,房地产开发与经营业,K70,房地产业,1993/4/10,1993/6/7,1993/6/7,CNY,2.4,3.4,CNY,27000,CNY,1993/3/15,1,2,D,200024,2015/12/30,,4
10,25,特力A,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co., Ltd.",6,商业,H03,能源、材料和机械电子设备批发业,F51,批发业,1993/4/18,1993/6/21,1993/6/21,CNY,3.18,4.18,CNY,25980,CNY,1993/3/15,1,2,A,200025,2017/7/24,,4
10,26,飞亚达A,飞亚达(集团)股份有限公司,FIYTA HOLDINGS LTD.,6,商业,H11,零售业,F52,零售业,1993/4/18,1993/6/3,1993/6/3,CNY,2.6,3.6,CNY,12500,CNY,1993/3/10,1,2,A,200026,2017/4/27,,4
10,27,深圳能源,深圳能源集团股份有限公司,"SHENZHEN ENERGY GROUP CO., LTD.",5,工业,D01,电力、蒸汽、热水的生产和供应业,D44,电力、热力生产和供应业,1993/6/27,1993/9/3,1993/9/3,CNY,2.5,3.5,CNY,107300,CNY,1993/4/6,1,2,A,,2017/4/27,,4
10,28,国药一致,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,6,商业,H01,食品、饮料、烟草和家庭用品批发业,F51,批发业,1993/7/3,1993/8/9,1993/8/9,CNY,2.5,3.5,CNY,30000,CNY,1993/5/5,1,2,A,200028,2017/4/27,,4
10,29,深深房A,深圳经济特区房地产(集团)股份有限公司,"Shenzhen Special Economic Zone Real Estate and Properties (Group) Co., Ltd.",3,房地产,J01,房地产开发与经营业,K70,房地产业,1993/8/15,1993/9/15,1993/9/15,CNY,2.8,3.8,CNY,112000,CNY,1993/6/21,1,2,N,200029,2016/9/14,,4
10,30,富奥股份,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,5,工业,C75,交通运输设备制造业,C36,汽车制造业,1993/8/28,1993/9/29,1993/9/29,CNY,3.55,4.55,CNY,43500,CNY,1993/6/28,1,2,A,200030,2017/4/27,,4
10,31,中粮地产,中粮地产(集团)股份有限公司,"COFCO Property (Group) Co., Ltd.",3,房地产,J01,房地产开发与经营业,K70,房地产业,1993/9/26,1993/10/8,1993/10/8,CNY,3.38,4.38,CNY,67000,CNY,1993/8/8,1,2,N,,2017/7/24,,4
10,32,深桑达A,深圳市桑达实业股份有限公司,"SHENZHEN SED INDUSTRY CO., LTD.",6,商业,H09,其他批发业,F51,批发业,1993/9/26,1993/10/28,1993/10/28,CNY,2.36,3.36,CNY,27500,CNY,1993/8/12,1,2,A,,2017/9/12,,4
10,33,新都退,深圳新都酒店股份有限公司,"Shenzhen Century Plaza Hotel Co., Ltd.",6,商业,K32,旅馆业,H61,住宿业,1990/3/8,1994/1/3,1994/1/3,CNY,2.15,3.15,CNY,42000,CNY,1993/9/30,1,2,D,,2017/7/7,,4
10,34,神州数码,神州数码集团股份有限公司,"Digital China Group Co.,Ltd.",6,商业,H01,食品、饮料、烟草和家庭用品批发业,F51,批发业,1982/6/1,1994/5/9,1994/5/9,CNY,4.2,5.2,CNY,46800,CNY,1993/10/18,1,2,N,,2017/9/29,,4
10,35,中国天楹,中国天楹股份有限公司,China Tianying Inc.,2,公用事业,K99,其他社会服务业,N77,生态保护和环境治理业,1984/12/31,1994/4/8,1994/4/8,CNY,2.9,3.9,CNY,15000,CNY,1993/11/24,1,2,N,,2017/8/22,,4
10,36,华联控股,华联控股股份有限公司,CHINA UNION HOLDINGS LTD.,3,房地产,J01,房地产开发与经营业,K70,房地产业,1994/1/29,1994/6/17,1994/6/17,CNY,1.6,2.6,CNY,34100,CNY,1993/12/13,1,2,A,,2017/4/27,,4
10,37,深南电A,深圳南山热电股份有限公司,Shenzhen Nanshan Power Company Limited,5,工业,D01,电力、蒸汽、热水的生产和供应业,D44,电力、热力生产和供应业,1993/11/25,1994/7/1,1994/7/1,CNY,3.6,4.6,CNY,40000,CNY,1994/1/3,1,2,A,200037,2017/4/27,,4
10,38,深大通,深圳大通实业股份有限公司,"Shenzhen Capstone Industrial Co., Ltd.",2,公用事业,K99,其他社会服务业,L72,商务服务业,1987/6/24,1994/8/8,1994/8/8,CNY,2.68,3.68,CNY,12000,CNY,1993/12/10,1,2,S,,2007/5/22,,4
10,39,中集集团,中国国际海运集装箱(集团)股份有限公司,"China International Marine Containers (Group) Co., Ltd.",5,工业,C69,金属制品业,C33,金属制品业,1992/9/30,1994/4/8,1994/4/8,CNY,7.5,8.5,CNY,12000,CNY,1994/2/1,1,2,A,,2017/4/27,2039,4
10,40,东旭蓝天,东旭蓝天新能源股份有限公司,"TUNGHSU AZURE RENEWABLE ENERGY CO.,LTD.",3,房地产,E01,土木工程建筑业,E48,土木工程建筑业,1993/12/30,1994/8/8,1994/8/8,CNY,5,6,CNY,22000,CNY,1994/2/18,1,2,A,,2017/5/3,,4
10,42,中洲控股,深圳市中洲投资控股股份有限公司,"SHENZHEN CENTRALCON INVESTMENT HOLDING CO., LTD",3,房地产,J01,房地产开发与经营业,K70,房地产业,1994/9/13,1994/9/21,1994/9/21,CNY,9.8,10.8,CNY,16300,CNY,1994/5/26,1,2,A,,2017/4/27,,4
